link,client.name,pe.contact,pe.address,pe.phone,pe.state,pe.email,pe.EIN,license.complaint_contact,pe.name,pe.type,tpa.name,tpa.npn,tpa type,producer.ein_ss,license.resident,license.state,license.licenseNumber,license.type,license.stateLicense,licenseDetail.loa,licenseDetail.effectiveDate,licenseDetail.expiration,licenseDetail.annual_renewal_date,Status
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,AK,11111,Third Party Administrator,Exempt Third Party Administrator,Health,2/2/2000,11/30/2015,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,AK,11111,Third Party Administrator,Exempt Third Party Administrator,Life,2/2/2000,11/30/2015,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,CA,11113,Third Party Administrator,Insurance Producer - CA Only,Registered Administrator,2/2/2000,4/30/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Resident,CT,11115,Third Party Administrator,Third Party Administrator,Other,2/2/2000,9/31/2016,7/1/2016,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,DE,11117,Third Party Administrator,Third Party Administrator,None,2/2/2000,2/28/2017,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,FL,11118,Third Party Administrator,Third Party Administrator,Third Party Administrator,2/2/2000,1/1/9999,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,IA,11119,Third Party Administrator,Third Party Administrator,None,2/2/2000,12/31/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,ID,11120,Third Party Administrator,Third Party Administrator,None,2/2/2000,12/1/2015,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,IL,11121,Third Party Administrator,Third Party Administrator,Not applicable,2/2/2000,12/31/2015,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,IN,11122,Third Party Administrator,Non-Resident Third Party Administrator,None,2/2/2000,1/31/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,KY,11124,Third Party Administrator,Administrator,None,2/2/2000,3/31/2017,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,MD,11127,Third Party Administrator,Third Party Administrator,None,2/2/2000,2/4/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,ME,11128,Third Party Administrator,Third Party Administrator Foreign,CO Health,2/2/2000,2/1/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,ME,11128,Third Party Administrator,Third Party Administrator Foreign,CO Life,2/2/2000,2/1/2016,,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(203) 555-5555,CT,kcompliant@ciai.com,222222222,"Gripps, Greg",Compliant TPA Inc.,Third Party Administrator,Compliant TPA Inc.,123456789,TPA-Entity,333333333,Non-resident,MS,11132,Third Party Administrator,Third Party Administrator,None,2/2/2000,5/31/2016,,Active
