link,client.name,pe.contact,pe.address,pe.phone,pe.state,pe.email,pe.EIN,pe.name,pe.type,producer.name,producer.nipr,license.resident,license.state,license.licenseNumber,license.type,license.stateLicense,licenseDetail.loa,licenseDetail.effectiveDate,licenseDetail.expiration,Notes
,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06216",(860) 954-9538,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,AR,100106900,Producer,Producer,Casualty,8/5/2003,9/30/2015,
,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06217",(860) 954-9539,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,AR,100106900,Producer,Producer,Property,8/5/2003,9/30/2015,
,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06218",(860) 954-9540,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,AZ,85864,Producer,Insurance Professional,Business Authority = Individual Authority,6/10/2010,11/30/2017,
1.01,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06183",(860) 954-9505,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CA,0D60796,Producer,Insurance Producer,Casualty Broker-Agent,4/17/2002,4/30/2016,
1.01,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06184",(860) 954-9506,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CA,0D60796,Producer,Insurance Producer,Property Broker-Agent,4/17/2002,4/30/2016,
1.13,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06208",(860) 954-9530,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CO,99561,Producer,Producer,Casualty,10/29/1999,12/1/2016,
1.13,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06209",(860) 954-9531,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CO,99561,Producer,Producer,Property,10/29/1999,12/1/2016,
1.14,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06210",(860) 954-9532,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CT,001039509,Producer,Producer,Casualty,2/1/2000,1/31/2016,
1.14,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06211",(860) 954-9533,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CT,001039509,Producer,Producer,Credit Products,2/1/2000,1/31/2016,
1.14,"The Travelers Companies, Inc.",Kamal Agrawal,"One Tower Square, CR10
Hartford, CT  06212",(860) 954-9534,CT,KAGRAWA2@travelers.com,999999999,"SPC Insurance Agency, Inc.",Producer- Agency,"SPC Insurance Agency, Inc.",3202300,Non-resident,CT,001039509,Producer,Producer,Property,2/1/2000,1/31/2016,
